ID,dD,d18O,dxs,dln
alhic2302-159_3-r-24,-294.18,-37.01,1.94,11.56083474
alhic2302-159_3-r-25,-293.81,-36.94,1.69,11.31314756
alhic2302-159_3-r-26,-293.21,-36.84,1.48,11.06051789
alhic2302-159_3-r-27,-294.37,-37.01,1.7,11.29160806
alhic2302-159_3-r-28,-294.79,-37.07,1.78,11.3580134
alhic2302-159_3-r-29,-294.37,-37.05,2.05,11.73277578
alhic2302-159_3-r-30,-294.25,-37.02,1.92,11.57193539
alhic2302-159_3-r-31,-294.3,-37.04,2.03,11.72167012
alhic2302-159_3-r-32,-293.94,-36.97,1.78,11.45975592
alhic2302-159_3-r-33,-294.53,-37.07,2.04,11.72662996
alhic2302-159_3-r-34,-295.35,-37.17,2.03,11.66718395
alhic2302-156_2-l-51,-294.42,-37,1.54,11.11047318
alhic2302-156_2-l-52,-295.15,-37.11,1.7,11.28873958
alhic2302-156_2-l-53,-295.31,-37.15,1.92,11.50317461
alhic2302-156_2-l-54,-295.38,-37.15,1.79,11.40383522
alhic2302-156_2-l-55,-295.66,-37.19,1.89,11.44795511
alhic2302-156_2-l-56,-295.47,-37.16,1.84,11.38648174
alhic2302-156_2-l-57,-295.34,-37.15,1.86,11.4606018
alhic2302-158-l-51,-293.29,-36.86,1.63,11.16764511
alhic2302-158-l-52,-292.78,-36.76,1.34,10.78772312
alhic2302-158-l-54,-291.69,-36.67,1.63,11.3372216
alhic2302-158-l-55,-290.65,-36.58,1.98,11.81445738
alhic2302-158-l-56,-290.42,-36.55,1.96,11.80878609
alhic2302-158-l-57,-289.79,-36.43,1.68,11.37745968
alhic2302-158-l-58,-289.59,-36.39,1.55,11.21966595
alhic2302-158-l-59,-289.67,-36.44,1.85,11.65626794
alhic2302-158-l-60,-289.12,-36.4,2.05,11.9908663
alhic2302-156_2-l-1,-298.19,-37.59,2.57,12.27165721
alhic2302-156_2-l-2,-297.98,-37.59,2.75,12.57083874
alhic2302-156_2-l-3,-298.17,-37.61,2.69,12.52157042
alhic2302-156_2-l-4,-298.37,-37.65,2.86,12.6794799
alhic2302-156_2-l-5,-298.52,-37.7,3.05,13.01948277
alhic2302-156_2-l-6,-298.26,-37.63,2.75,12.6147711
alhic2302-156_2-l-7,-298.17,-37.59,2.51,12.30015455
alhic2302-156_2-l-8,-298.93,-37.75,3.03,12.98882964
alhic2302-156_2-l-9,-298.55,-37.68,2.87,12.75516777
alhic2302-156_2-l-10,-298.51,-37.67,2.89,12.70142815
alhic2302-156_2-l-11,-298.71,-37.69,2.83,12.63781284
alhic2302-156_2-l-12,-298.71,-37.71,2.93,12.85937482
alhic2302-156_2-l-13,-298.63,-37.71,3.06,12.9734438
alhic2302-156_2-l-14,-298.39,-37.61,2.48,12.20805505
alhic2302-156_2-l-15,-298.74,-37.67,2.64,12.37350086
alhic2302-156_2-l-16,-298.46,-37.65,2.72,12.55119894
alhic2302-156_2-l-17,-298.6,-37.69,2.95,12.79465434
alhic2302-156_2-l-18,-298.28,-37.62,2.72,12.47554391
alhic2302-156_2-l-19,-298.92,-37.73,2.9,12.78147302
alhic2302-156_2-l-20,-298.32,-37.64,2.8,12.63999919
alhic2302-156_2-l-21,-297.65,-37.52,2.53,12.26607491
alhic2302-156_2-l-22,-298.45,-37.65,2.74,12.56545319
alhic2302-156_2-l-23,-298.62,-37.68,2.81,12.6553695
alhic2302-156_2-l-24,-298.31,-37.61,2.59,12.32207201
alhic2302-156_2-l-25,-298.11,-37.58,2.53,12.27494471
alhic2302-156_2-l-26,-298.02,-37.59,2.72,12.51385868
alhic2302-156_2-l-27,-298.11,-37.52,2.06,11.61091622
alhic2302-156_2-l-28,-297.5,-37.47,2.24,11.92646459
alhic2302-156_2-l-29,-296.44,-37.34,2.26,11.99687213
alhic2302-156_2-l-30,-295.17,-37.13,1.84,11.48107948
alhic2302-156_2-l-31,-294.98,-37.1,1.78,11.41954994
alhic2302-156_2-l-32,-293.64,-36.9,1.57,11.11300008
alhic2302-156_2-l-33,-293.8,-36.94,1.72,11.32730795
alhic2302-156_2-l-34,-293.34,-36.87,1.61,11.20706387
alhic2302-156_2-l-35,-293.25,-36.84,1.51,11.00392239
alhic2302-156_2-l-36,-292.92,-36.78,1.34,10.80995014
alhic2302-156_2-l-37,-293.86,-36.9,1.3,10.80149565
alhic2302-156_2-l-38,-293.79,-36.88,1.26,10.68024149
alhic2302-156_2-l-39,-293.4,-36.78,0.88,10.1308714
alhic2302-156_2-l-40,-293.78,-36.9,1.38,10.91478121
alhic2302-156_2-l-41,-293.43,-36.8,0.97,10.30864763
alhic2302-156_2-l-42,-293.49,-36.79,0.84,10.11360612
alhic2302-156_2-l-43,-293.37,-36.82,1.21,10.61382441
alhic2302-156_2-l-44,-293.29,-36.76,0.78,10.06632953
alhic2302-156_2-l-45,-292.77,-36.73,1.05,10.47161032
alhic2302-156_2-l-46,-293.27,-36.79,1.06,10.42494744
alhic2302-156_2-l-47,-293.32,-36.82,1.21,10.6845803
alhic2302-156_2-l-48,-293.68,-36.89,1.47,10.94617662
alhic2302-156_2-l-49,-293.62,-36.88,1.42,10.92093412
alhic2302-156_2-l-50,-293.57,-36.87,1.36,10.88153612
alhic2302-156_2-r-1,-299.71,-37.75,2.26,11.87562521
alhic2302-156_2-r-2,-298.55,-37.6,2.21,11.86927054
alhic2302-156_2-r-3,-299.09,-37.67,2.26,11.87427465
alhic2302-156_2-r-4,-298.58,-37.63,2.48,12.15865774
alhic2302-156_2-r-5,-298.61,-37.62,2.37,12.00516025
alhic2302-156_2-r-6,-297.88,-37.52,2.27,11.93854922
alhic2302-156_2-r-7,-297.33,-37.44,2.19,11.83662207
alhic2302-156_2-r-8,-297.09,-37.41,2.2,11.84637769
alhic2302-156_2-r-9,-295.48,-37.18,2,11.59307587
alhic2302-156_2-r-10,-294.35,-37.02,1.83,11.43023211
alhic2302-156_2-r-11,-293.61,-36.89,1.49,11.04527693
alhic2302-156_2-r-12,-294.17,-37,1.84,11.46472885
alhic2302-156_2-r-13,-293.55,-36.87,1.4,10.90984709
alhic2302-156_2-r-14,-293.21,-36.83,1.41,10.95036811
alhic2302-156_2-r-15,-293.67,-36.89,1.44,10.96033441
alhic2302-156_2-r-16,-293.59,-36.78,0.65,9.86194195
alhic2302-156_2-r-17,-293.46,-36.78,0.77,10.04595412
alhic2302-156_2-r-18,-293.29,-36.81,1.19,10.61689623
alhic2302-156_2-r-19,-293.57,-36.83,1.08,10.44089329
alhic2302-156_2-r-20,-293.34,-36.81,1.16,10.54614335
alhic2302-156_2-r-21,-293.06,-36.79,1.29,10.72204648
alhic2302-156_2-r-22,-293.18,-36.8,1.2,10.66240703
alhic2302-156_2-r-23,-293.52,-36.87,1.46,10.95231204
alhic2302-156_2-r-24,-293.95,-36.91,1.36,10.78423484
alhic2302-156_2-r-25,-294.9,-37.04,1.42,10.87108884
alhic2302-156_2-r-26,-295.36,-37.11,1.52,10.99075945
alhic2302-156_2-r-27,-295.17,-37.1,1.67,11.15001771
alhic2302-156_2-r-28,-295.88,-37.2,1.75,11.24596945
alhic2302-156_2-r-29,-295.21,-37.13,1.8,11.4243266
alhic2302-156_2-r-30,-295.78,-37.22,1.98,11.60882706
alhic2302-156_2-r-31,-296.77,-37.29,1.53,10.97521972
alhic2302-156_2-r-32,-297.03,-37.41,2.25,11.93173349
alhic2302-156_2-r-33,-297.05,-37.41,2.25,11.90328236
alhic2302-156_2-r-34,-297.35,-37.42,2.04,11.58699122
alhic2302-156_2-r-35,-296.29,-37.25,1.74,11.21568359
alhic2302-156_2-r-36,-295.95,-37.19,1.56,11.03613735
alhic2302-156_2-r-37,-296.11,-37.23,1.7,11.25054784
alhic2302-156_2-r-38,-296.61,-37.3,1.77,11.31320066
alhic2302-156_2-r-39,-296.93,-37.36,1.93,11.52122226
alhic2302-156_2-r-40,-297.74,-37.48,2.09,11.69538585
alhic2302-156_2-r-41,-297.76,-37.48,2.11,11.66690597
alhic2302-156_2-r-42,-298.34,-37.56,2.12,11.72583229
alhic2302-156_2-r-43,-298.45,-37.57,2.11,11.67973128
alhic2302-156_2-r-44,-298.66,-37.58,1.98,11.49103896
alhic2302-156_2-r-45,-298.73,-37.65,2.45,12.16625728
alhic2302-158-l-1,-295.19,-37.1,1.58,11.12164168
alhic2302-158-l-2,-294.93,-37.05,1.45,10.93884365
alhic2302-158-l-3,-294.6,-37,1.4,10.85533136
alhic2302-158-l-4,-294.04,-36.9,1.15,10.5465562
alhic2302-158-l-5,-294.13,-36.91,1.14,10.52926289
alhic2302-158-l-6,-294.75,-36.97,1.04,10.31188608
alhic2302-158-l-7,-295.61,-37.04,0.72,9.863632159
alhic2302-158-l-8,-296.77,-37.19,0.76,9.870768566
alhic2302-158-l-9,-297.1,-37.18,0.33,9.290990185
alhic2302-158-l-10,-297.68,-37.29,0.6,9.680352757
alhic2302-158-l-11,-297.3,-37.25,0.69,9.779402316
alhic2302-158-l-12,-296.71,-37.14,0.43,9.404133541
alhic2302-158-l-13,-297.01,-37.2,0.58,9.639840228
alhic2302-158-l-14,-297.9,-37.27,0.28,9.146107557
alhic2302-158-l-15,-297.08,-37.22,0.72,9.761107047
alhic2302-158-l-16,-296.04,-37.06,0.44,9.473601512
alhic2302-158-l-17,-295.9,-37.06,0.62,9.672456675
alhic2302-158-l-18,-295.31,-37,0.69,9.848303354
alhic2302-158-l-19,-295.23,-37.01,0.85,10.07209571
alhic2302-158-l-20,-294.43,-36.91,0.81,10.10416511
alhic2302-158-l-21,-294.28,-36.91,1.04,10.31673659
alhic2302-158-l-22,-294.38,-36.93,1.03,10.39545075
alhic2302-158-l-23,-294.54,-36.96,1.13,10.49936397
alhic2302-158-l-24,-294.11,-36.85,0.73,9.896500872
alhic2302-158-l-25,-294.47,-36.96,1.2,10.59858508
alhic2302-158-l-26,-294.24,-36.94,1.3,10.70406081
alhic2302-158-l-27,-294.71,-36.96,0.94,10.25835741
alhic2302-158-l-28,-294.98,-37.03,1.26,10.64732774
alhic2302-158-l-29,-293.59,-36.85,1.2,10.63288836
alhic2302-158-l-30,-292.95,-36.74,0.99,10.32714074
alhic2302-158-l-31,-293.18,-36.82,1.34,10.88267015
alhic2302-158-l-32,-292.74,-36.78,1.47,11.06448583
alhic2302-158-l-33,-292.63,-36.78,1.59,11.22000353
alhic2302-158-l-34,-292.95,-36.83,1.68,11.3181608
alhic2302-158-l-35,-292.31,-36.74,1.58,11.23190069
alhic2302-158-l-36,-292.32,-36.77,1.86,11.54804454
alhic2302-158-l-37,-291.77,-36.71,1.94,11.66444681
alhic2302-158-l-38,-290.96,-36.58,1.68,11.37734206
alhic2302-158-l-39,-291,-36.6,1.78,11.54086873
alhic2302-158-l-40,-290.91,-36.61,1.98,11.77778224
alhic2302-158-l-41,-290.59,-36.58,2.08,11.89903829
alhic2302-158-l-42,-290.5,-36.56,1.94,11.80598278
alhic2302-158-l-43,-291,-36.56,1.51,11.10101272
alhic2302-158-l-44,-291.36,-36.61,1.54,11.14296458
alhic2302-158-l-45,-292,-36.7,1.59,11.22958576
alhic2302-158-l-46,-292.21,-36.68,1.2,10.71284335
alhic2302-158-l-47,-292.64,-36.7,0.99,10.32522215
alhic2302-158-l-48,-292.93,-36.72,0.86,10.13528035
alhic2302-158-l-49,-293.49,-36.83,1.15,10.55413235
alhic2302-158-l-50,-293.58,-36.83,1.08,10.4267375
alhic2302-158-r-1,-298.23,-37.59,2.52,12.21466011
alhic2302-158-r-2,-298.04,-37.57,2.53,12.26398079
alhic2302-158-r-3,-298.05,-37.56,2.46,12.13905249
alhic2302-158-r-4,-297.16,-37.41,2.12,11.74678673
alhic2302-158-r-5,-295.99,-37.18,1.45,10.86891661
alhic2302-158-r-6,-295.61,-37.14,1.49,10.96698905
alhic2302-158-r-7,-295,-37.04,1.31,10.72925493
alhic2302-158-r-8,-294.62,-36.98,1.19,10.60645272
alhic2302-158-r-9,-294.31,-36.93,1.1,10.49464937
alhic2302-158-r-10,-294.58,-36.93,0.85,10.1119719
alhic2302-158-r-11,-295.67,-37.1,1.11,10.44037506
alhic2302-158-r-12,-296.1,-37.13,0.91,10.16074111
alhic2302-158-r-13,-297.15,-37.29,1.17,10.43470992
alhic2302-158-r-14,-297.76,-37.25,0.27,9.124570058
alhic2302-158-r-15,-298.24,-37.39,0.9,9.987858292
alhic2302-158-r-16,-297.87,-37.31,0.65,9.630762001
alhic2302-158-r-17,-298.14,-37.35,0.65,9.688187044
alhic2302-158-r-18,-297.7,-37.3,0.72,9.762360553
alhic2302-158-r-19,-297.67,-37.34,1.03,10.24709041
alhic2302-158-r-20,-297.13,-37.26,0.98,10.13175312
alhic2302-158-r-21,-296.57,-37.2,1.03,10.26554239
alhic2302-158-r-22,-295.87,-37.12,1.08,10.37707748
alhic2302-158-r-23,-295.39,-37.04,0.97,10.17591037
alhic2302-158-r-24,-294.35,-36.93,1.05,10.43796565
alhic2302-158-r-25,-294.39,-36.96,1.29,10.71196859
