ID,dD,d18O,dxs,dln
alhic2302-155_2-stick2-7,-298.89,-37.49,1.05,10.16709739
alhic2302-155_2-stick2-8,-295.93,-37.15,1.29,10.62296785
alhic2302-155_2-stick2-9,-292.82,-36.75,1.18,10.62107056
alhic2302-155_2-stick2-10,-290.63,-36.49,1.33,10.85327069
alhic2302-155_2-stick2-11,-290.29,-36.43,1.13,10.67319462
alhic2302-155_2-stick2-12,-290.09,-36.39,1.07,10.51559923
alhic2302-155_2-stick2-13,-289.28,-36.28,1,10.44829636
alhic2302-155_2-stick2-14,-288.78,-36.27,1.36,11.04181896
alhic2302-155_2-stick2-15,-288.87,-36.3,1.51,11.24451562
alhic2302-155_2-stick2-16,-289.01,-36.32,1.56,11.26716138
