mid_depth,top_depth,bottom_depth,AC_ecm,effective_center_x,effective_center_y,xlo,xhi,ylo,yhi,section,stick,core,DC_ecm,top_depth_adj,bottom_depth_adj,mid_depth_adj
156.773,156.773,156.773,9.074433750000001e-09,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.773,156.773,156.773
156.774,156.774,156.774,1.0750895e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.774,156.774,156.774
156.775,156.775,156.775,1.29913e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.775,156.775,156.775
156.776,156.776,156.776,1.4899875e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.776,156.776,156.776
156.77700000000002,156.77700000000002,156.77700000000002,1.6159524999999998e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.77700000000002,156.77700000000002,156.77700000000002
156.77800000000002,156.77800000000002,156.77800000000002,1.8140575e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.77800000000002,156.77800000000002,156.77800000000002
156.77900000000002,156.77900000000002,156.77900000000002,1.84908625e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.77900000000002,156.77900000000002,156.77900000000002
156.78000000000003,156.78000000000003,156.78000000000003,1.91993875e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78000000000003,156.78000000000003,156.78000000000003
156.78100000000003,156.78100000000003,156.78100000000003,1.952805e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78100000000003,156.78100000000003,156.78100000000003
156.78200000000004,156.78200000000004,156.78200000000004,1.9755e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78200000000004,156.78200000000004,156.78200000000004
156.78300000000004,156.78300000000004,156.78300000000004,1.98068375e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78300000000004,156.78300000000004,156.78300000000004
156.78400000000005,156.78400000000005,156.78400000000005,1.98701e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78400000000005,156.78400000000005,156.78400000000005
156.78500000000005,156.78500000000005,156.78500000000005,2.00154625e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78500000000005,156.78500000000005,156.78500000000005
156.78600000000006,156.78600000000006,156.78600000000006,1.9978325000000003e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78600000000006,156.78600000000006,156.78600000000006
156.78700000000006,156.78700000000006,156.78700000000006,1.97944875e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78700000000006,156.78700000000006,156.78700000000006
156.78800000000007,156.78800000000007,156.78800000000007,1.954e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78800000000007,156.78800000000007,156.78800000000007
156.78900000000007,156.78900000000007,156.78900000000007,1.9500224999999998e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.78900000000007,156.78900000000007,156.78900000000007
156.79000000000008,156.79000000000008,156.79000000000008,1.939905e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,156.79000000000008,156.79000000000008,156.79000000000008
