section,stick,top_depth,bottom_depth,mid_depth,x_lo,x_hi,y_lo,y_hi,section_top_depth,offset,default_color,effective_center_x,effective_center_y,total_volume,concentration,volume_<12,volume_<10,volume_<9,volume_<8,volume_<6,volume_<4,concentration_<12,concentration_<10,concentration_<9,concentration_<8,concentration_<6,concentration_<4,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,LIC,155.065,155.095,155.08,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,1782737.3744527993,4670.7719210663345,1745309.3267985205,1649935.6937147616,1561438.8235810548,1455073.0747918163,1123994.2339938702,694955.7166134682,4572.7104362121245,4322.831517532675,4090.9697177823637,1455073.0747918163,1123994.2339938702,694955.7166134682,-36.77605111603976,13.403045485590871,155.1395815143468,155.1695815143468,155.1545815143468
228_4,LIC,155.0957857,155.1257857,155.1107857,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,1288443.0056828274,3375.720674889008,1171622.5600461469,1020975.9161455657,907192.4500731713,794914.8108018598,547161.5804047618,302733.364475772,3069.651107320905,2674.9569003013826,2376.8442191917093,794914.8108018598,547161.5804047618,302733.364475772,-36.77605111603976,13.403045485590871,155.17036721434678,155.20036721434678,155.1853672143468
228_4,LIC,155.1265714,155.1565714,155.1415714,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,813376.9509823808,2131.047611573838,735274.507887993,667696.4918897664,600780.9817707099,529836.1815459876,371804.47516065364,215904.17689797192,1926.4192106665419,1749.364808751188,1574.04617223926,529836.1815459876,371804.47516065364,215904.17689797192,-36.77605111603976,13.403045485590871,155.20115291434678,155.23115291434678,155.2161529143468
228_4,LIC,155.1573571,155.1973571,155.1773571,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,1021491.4213158628,2676.307523847561,1016769.4314204216,987175.6674379434,954271.9624465238,917664.1867265155,814244.5769574792,612740.7651388427,2663.9359103215047,2586.400248687412,2500.1925416098925,917664.1867265155,814244.5769574792,612740.7651388427,-36.77605111603976,13.403045485590871,155.2319386143468,155.2719386143468,155.25193861434678
228_4,LIC,155.1981429,155.2411429,155.2196429,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,1664328.3459602825,4360.540266415941,1433393.1131467153,1208344.5348384455,1071685.8501078614,943972.6645035674,658938.9963910662,360935.23901119403,3755.4899564443945,3165.8626812767275,2807.816927282597,943972.6645035674,658938.9963910662,360935.23901119403,-36.77605111603976,13.403045485590871,155.27272441434678,155.3157244143468,155.2942244143468
228_4,LIC,155.2419286,155.2774286,155.2596786,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,2932603.514192926,7683.421207185467,2402942.2558725113,2020593.688785929,1753528.2446517139,1509685.5629469836,967494.2288537694,516200.90940267255,6295.70871038598,5293.955464619135,4594.244000987491,1509685.5629469836,967494.2288537694,516200.90940267255,-36.77605111603976,13.403045485590871,155.31651011434678,155.3520101143468,155.3342601143468
228_4,LIC,155.2782143,155.3072143,155.2927143,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,6116269.959588466,16024.627294121781,5044867.134745626,4301421.194181917,3831862.529203926,3348337.812631245,2292510.291032102,1282456.6088831741,13217.55189303354,11269.723528756624,10039.479826514287,3348337.812631245,2292510.291032102,1282456.6088831741,-36.77605111603976,13.403045485590871,155.3527958143468,155.3817958143468,155.3672958143468
228_4,LIC,155.308,155.338,155.323,-0.11,-0.08,0.0,0.03,,,5.0,-0.095,0.015,1202152.5567676793,3149.63969873132,999723.7026567011,825858.9469275295,705752.0792223054,592447.0658905027,389255.2809644957,215745.83048871666,2619.276100960557,2163.7504409501275,1849.0704475624404,592447.0658905027,389255.2809644957,215745.83048871666,-36.77605111603976,13.403045485590871,155.38258151434678,155.41258151434678,155.3975815143468
228_4,RIC,155.065,155.095,155.08,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,1269795.6718947364,3326.864660364209,1096832.1933632286,927115.2213120541,816464.4782890872,712181.0752073443,435922.0016176043,194301.64527757658,2873.700346611659,2429.0418798375817,2139.1369331174083,712181.0752073443,435922.0016176043,194301.64527757658,-36.77605111603976,13.403045485590871,155.0199904950351,155.0499904950351,155.03499049503512
228_4,RIC,155.095786,155.125786,155.110786,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,559182.5647419054,1465.0583196237924,504503.8264744906,453264.8850608251,421143.5109330079,385310.3772980538,306579.79132874473,216308.97633864934,1321.8000253631656,1187.5539988593619,1103.3959986444806,385310.3772980538,306579.79132874473,216308.97633864934,-36.77605111603976,13.403045485590871,155.0507764950351,155.0807764950351,155.0657764950351
228_4,RIC,155.126571,155.156571,155.1415714,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,2299334.9120871145,6024.25746966824,1794870.273855771,1506412.6382082587,1341874.7027650925,1198313.6196976027,860559.567055813,461079.0181024921,4702.56011750212,3946.801112105638,3515.7117212445423,1198313.6196976027,860559.567055813,461079.0181024921,-36.77605111603976,13.403045485590871,155.08156149503512,155.11156149503512,155.0965618950351
228_4,RIC,155.157357,155.197357,155.177357,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,2090778.792601515,5477.84043661597,1732430.276154144,1481644.1147424425,1329202.3910808805,1162158.4544449828,782121.1113914293,417559.0647127951,4538.967323523858,3881.9075806252,3482.510264631907,1162158.4544449828,782121.1113914293,417559.0647127951,-36.77605111603976,13.403045485590871,155.1123474950351,155.15234749503512,155.1323474950351
228_4,RIC,155.198143,155.241143,155.219643,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,1324579.3949980747,3470.398014894956,1105628.2974837914,930698.525922818,815635.6647337469,713732.6719992097,486797.6455254523,273526.6938679182,2896.746139407534,2438.430137917783,2136.965441602417,713732.6719992097,486797.6455254523,273526.6938679182,-36.77605111603976,13.403045485590871,155.1531334950351,155.1961334950351,155.1746334950351
228_4,RIC,155.241929,155.277429,155.259679,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,4192577.457024438,10984.552937404027,3431299.9603372775,2895805.6088543097,2525113.761080119,2187706.51551113,1448271.0606644826,741601.3600401155,8990.005896083669,7587.0106951982925,6615.798054029912,2187706.51551113,1448271.0606644826,741601.3600401155,-36.77605111603976,13.403045485590871,155.1969194950351,155.23241949503512,155.2146694950351
228_4,RIC,155.278214,155.307214,155.292714,0.05,0.08,0.0,0.03,,,8.0,0.065,0.015,1080316.9497372075,2830.430408311484,1016456.6788033366,912289.0889345997,865298.3759984651,816000.8722359301,664105.4886868796,420686.5450939703,2663.1164984647417,2390.1974130086514,2267.0817451159787,816000.8722359301,664105.4886868796,420686.5450939703,-36.77605111603976,13.403045485590871,155.2332044950351,155.2622044950351,155.2477044950351
230_4,stick3,156.805,156.836,156.8205,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,445321.1417068263,1166.741391271885,367074.8815236251,360763.0387314195,353633.09429269173,337452.8764371983,287639.85524343373,188405.00740171684,961.7361895918979,945.1991614763191,926.5187070468523,337452.8764371983,287639.85524343373,188405.00740171684,27.81977619748942,30.452979490761543,156.8576769151446,156.8886769151446,156.8731769151446
230_4,stick3,156.8375,156.8625,156.85000000000002,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,2262181.731075426,5926.916135417617,2084896.4169593733,1911106.7365424437,1729901.2685623919,1529803.6332823797,1043800.4123772453,543156.7651795696,5462.428612433559,5007.0996497412025,4532.341323633467,1529803.6332823797,1043800.4123772453,543156.7651795696,27.81977619748942,30.452979490761543,156.8901769151446,156.9151769151446,156.9026769151446
230_4,stick3,156.864,156.894,156.87900000000002,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,5144605.013499763,13478.865135369379,4901115.631577192,4550437.664734843,4172172.4989310494,3730297.770312547,2604001.935816115,1375170.7838143567,12840.922954732243,11922.146681605289,10931.091947199351,3730297.770312547,2604001.935816115,1375170.7838143567,27.81977619748942,30.452979490761543,156.9166769151446,156.9466769151446,156.9316769151446
230_4,stick3,156.8955,156.9245,156.91,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,3370133.515236768,8829.749809920331,3165434.025898699,2883587.989931719,2635848.784779534,2352746.3360045045,1636311.0879545878,914749.5573035178,8293.437147854593,7555.000533621103,6905.92381612238,2352746.3360045045,1636311.0879545878,914749.5573035178,27.81977619748942,30.452979490761543,156.9481769151446,156.97717691514458,156.96267691514458
230_4,stick3,156.926,156.956,156.94099999999997,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,5447055.20725946,14271.284643019786,5360757.45157117,5247424.781225891,5062910.731940694,4707849.654496186,3298656.092994012,1519935.3873438279,14045.184523116468,13748.252926811834,13264.826117684619,4707849.654496186,3298656.092994012,1519935.3873438279,27.81977619748942,30.452979490761543,156.97867691514458,157.00867691514458,156.99367691514456
230_4,stick3,156.95749999999998,156.99349999999998,156.97549999999998,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,8634832.220581692,22623.260417924033,8519802.372765176,8307990.286819762,8066147.492964016,7697006.267394791,5961982.304008586,2941497.92744366,22321.88221664476,21766.934551467777,21133.306431565725,7697006.267394791,5961982.304008586,2941497.92744366,27.81977619748942,30.452979490761543,157.01017691514457,157.04617691514457,157.02817691514457
230_4,stick3,156.99499999999998,157.045,157.01999999999998,0.062,0.102,0.0,0.032,156.77,35.0,8.0,0.082,0.016,2638659.1143771573,6913.286879668152,2598627.8211298883,2525079.8506758763,2397808.5824079863,2229986.2120291633,1621041.174012512,835110.8714154079,6808.404891360308,6615.709208770796,6282.258485908925,2229986.2120291633,1621041.174012512,835110.8714154079,27.81977619748942,30.452979490761543,157.04767691514456,157.09767691514458,157.07267691514457
