mid_depth,top_depth,bottom_depth,AC_ecm,effective_center_x,effective_center_y,x_lo,x_hi,y_lo,y_hi,section,stick,core,DC_ecm,top_depth_adj,bottom_depth_adj,mid_depth_adj
155.03,155.03,155.03,1.64487e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03,155.03,155.03
155.031,155.031,155.031,1.63890375e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.031,155.031,155.031
155.032,155.032,155.032,1.6229862499999998e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.032,155.032,155.032
155.03300000000002,155.03300000000002,155.03300000000002,1.613205e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03300000000002,155.03300000000002,155.03300000000002
155.03400000000002,155.03400000000002,155.03400000000002,1.60604e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03400000000002,155.03400000000002,155.03400000000002
155.03500000000003,155.03500000000003,155.03500000000003,1.58705125e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03500000000003,155.03500000000003,155.03500000000003
155.03600000000003,155.03600000000003,155.03600000000003,1.58342125e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03600000000003,155.03600000000003,155.03600000000003
155.03700000000003,155.03700000000003,155.03700000000003,1.5803475e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03700000000003,155.03700000000003,155.03700000000003
155.03800000000004,155.03800000000004,155.03800000000004,1.5756975000000002e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03800000000004,155.03800000000004,155.03800000000004
155.03900000000004,155.03900000000004,155.03900000000004,1.54841125e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.03900000000004,155.03900000000004,155.03900000000004
155.04000000000005,155.04000000000005,155.04000000000005,1.5450025e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04000000000005,155.04000000000005,155.04000000000005
155.04100000000005,155.04100000000005,155.04100000000005,1.5417e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04100000000005,155.04100000000005,155.04100000000005
155.04200000000006,155.04200000000006,155.04200000000006,1.53870875e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04200000000006,155.04200000000006,155.04200000000006
155.04300000000006,155.04300000000006,155.04300000000006,1.535425e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04300000000006,155.04300000000006,155.04300000000006
155.04400000000007,155.04400000000007,155.04400000000007,1.53387e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04400000000007,155.04400000000007,155.04400000000007
155.04500000000007,155.04500000000007,155.04500000000007,1.5070500000000003e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04500000000007,155.04500000000007,155.04500000000007
155.04600000000008,155.04600000000008,155.04600000000008,1.5067975e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04600000000008,155.04600000000008,155.04600000000008
155.04700000000008,155.04700000000008,155.04700000000008,1.5055674999999998e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.04700000000008,155.04700000000008,155.04700000000008
155.0480000000001,155.0480000000001,155.0480000000001,1.5054525e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0480000000001,155.0480000000001,155.0480000000001
155.0490000000001,155.0490000000001,155.0490000000001,1.50487e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0490000000001,155.0490000000001,155.0490000000001
155.0500000000001,155.0500000000001,155.0500000000001,1.50469875e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0500000000001,155.0500000000001,155.0500000000001
155.0510000000001,155.0510000000001,155.0510000000001,1.50147375e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0510000000001,155.0510000000001,155.0510000000001
155.0520000000001,155.0520000000001,155.0520000000001,1.4994625e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0520000000001,155.0520000000001,155.0520000000001
155.0530000000001,155.0530000000001,155.0530000000001,1.4928124999999997e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.0530000000001,155.0530000000001,155.0530000000001
155.05400000000012,155.05400000000012,155.05400000000012,1.4584675e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.05400000000012,155.05400000000012,155.05400000000012
155.05500000000012,155.05500000000012,155.05500000000012,1.4562654166666666e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.05500000000012,155.05500000000012,155.05500000000012
155.05600000000013,155.05600000000013,155.05600000000013,1.45250125e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.05600000000013,155.05600000000013,155.05600000000013
155.05700000000013,155.05700000000013,155.05700000000013,1.44843625e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.05700000000013,155.05700000000013,155.05700000000013
155.05800000000013,155.05800000000013,155.05800000000013,1.446685e-08,0.0,0.0,0.0,0.0,0.0,0.0,228_4,median,alhic1901,,155.05800000000013,155.05800000000013,155.05800000000013
