section,stick,top_depth,bottom_depth,mid_depth,dD,d17O,d18O,dxs,x_lo,x_hi,y_lo,y_hi,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,r_iso,155.0891,155.0991,155.0941,-291.67,-19.42,-36.49,0.26,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.01045552084307,155.02045552084306,155.01545552084306
228_4,r_iso,155.1001,155.1101,155.1051,-291.6,-19.46,-36.58,1.01,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.02145552084306,155.03145552084305,155.02645552084306
228_4,r_iso,155.1112,155.1212,155.1162,-291.25,-19.42,-36.55,1.15,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.03255552084306,155.04255552084305,155.03755552084306
228_4,r_iso,155.1222,155.1322,155.1272,-291.13,-19.45,-36.55,1.28,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.04355552084306,155.05355552084308,155.04855552084305
228_4,r_iso,155.1333,155.1433,155.1383,-290.97,-19.44,-36.5,1.02,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.05465552084306,155.06465552084308,155.05965552084305
228_4,r_iso,155.1443,155.1543,155.1493,-291.77,-19.41,-36.46,-0.07,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.06565552084305,155.07565552084307,155.07065552084308
228_4,r_iso,155.1554,155.1654,155.1604,-291.29,-19.37,-36.42,0.04,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.07675552084305,155.08675552084307,155.08175552084307
228_4,r_iso,155.1664,155.1764,155.1714,-291.16,-19.36,-36.42,0.21,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.08775552084307,155.09775552084307,155.09275552084307
228_4,r_iso,155.1775,155.1875,155.1825,-291.09,-19.38,-36.4,0.11,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.09885552084307,155.10885552084306,155.10385552084307
228_4,r_iso,155.1885,155.1985,155.1935,-290.53,-19.33,-36.31,-0.01,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.10985552084307,155.11985552084306,155.11485552084307
228_4,r_iso,155.1996,155.2096,155.2046,-290.19,-19.32,-36.29,0.15,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.12095552084307,155.13095552084306,155.12595552084306
228_4,r_iso,155.2106,155.2206,155.2156,-290.24,-19.37,-36.34,0.49,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.13195552084306,155.14195552084306,155.13695552084306
228_4,r_iso,155.2217,155.2317,155.2267,-291.3,-19.38,-36.44,0.21,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.14305552084306,155.15305552084305,155.14805552084306
228_4,r_iso,155.2327,155.24269999999999,155.2377,-292.87,,-36.64,0.21,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.15405552084306,155.16405552084305,155.15905552084305
228_4,r_iso,155.2438,155.25379999999998,155.2488,-294.63,-19.64,-36.89,0.48,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.16515552084306,155.17515552084305,155.17015552084305
228_4,r_iso,155.2548,155.2648,155.25979999999998,-295.45,-19.73,-37.03,0.82,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.17615552084305,155.18615552084307,155.18115552084305
228_4,r_iso,155.2659,155.2759,155.2709,-296.16,-19.8,-37.17,1.18,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.18725552084305,155.19725552084307,155.19225552084308
228_4,r_iso,155.2769,155.2869,155.2819,-296.13,-19.75,-37.07,0.41,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.19825552084308,155.20825552084307,155.20325552084307
228_4,r_iso,155.288,155.298,155.293,-295.7,-19.7,-37.0,0.28,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.20935552084308,155.21935552084307,155.21435552084307
228_4,r_iso,155.299,155.316,155.3075,-294.75,-19.61,-36.86,0.14,120.0,100.0,0.0,30.0,110.0,15.0,-36.77605112,13.40304549,155.22035552084307,155.23735552084307,155.22885552084307
228_4,c_iso,155.065,155.075,155.07,-290.58,,-36.57,2.01,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.03938384913954,155.04938384913953,155.04438384913954
228_4,c_iso,155.07500000000002,155.085,155.08,-290.97,,-36.56,1.49,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.04938384913956,155.05938384913955,155.05438384913955
228_4,c_iso,155.085,155.095,155.09,-290.94,,-36.58,1.68,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.05938384913955,155.06938384913954,155.06438384913955
228_4,c_iso,155.095,155.105,155.1,-291.05,,-36.6,1.76,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.06938384913954,155.07938384913953,155.07438384913954
228_4,c_iso,155.10500000000002,155.115,155.11,-291.06,,-36.6,1.75,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.07938384913956,155.08938384913955,155.08438384913956
228_4,c_iso,155.115,155.125,155.12,-291.33,,-36.61,1.57,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.08938384913955,155.09938384913954,155.09438384913955
228_4,c_iso,155.125,155.135,155.13,-291.58,,-36.58,1.07,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.09938384913954,155.10938384913953,155.10438384913954
