section,stick,default_color,top_depth,bottom_depth,mid_depth,top_depth_adj,bottom_depth_adj,mid_depth_adj,age,d18O_meltwater,dD_meltwater
228_4,Ar,8,155.13666905146553,155.23499964765026,155.18977199435915,155.0521698326011,155.1663402235962,155.1149854507241,1.3691,-36.5,-289.94
228_4,Ar,8,155.11000054251184,155.1499995059391,155.12885389808875,155.03735415747371,155.16632033402303,155.10545611809687,1.5319,-36.46,-289.35
228_4,Ar,8,155.14000053060616,155.22999942765782,155.19057322071828,155.13946136169295,155.2731513957302,155.200300731339,1.6767999999999998,-36.98,-294.56
228_4,Ar,8,155.23000046249024,155.3099993158317,155.26475284267005,155.14654076410167,155.27325052397956,155.2177797857392,1.7847,-37.0,-294.9
228_4,Ar,8,155.23147916096738,155.30999981150137,155.281641424543,155.24859368065603,155.36042944099393,155.29650973696067,1.6561,,
228_4,Ar,8,155.18014489902052,155.28343348947718,155.23578649107102,155.24992775166604,155.3603713141827,155.29874271859867,1.5768,-36.59,-290.37
